0.5487,0.5099,0.4895,0.4698,0.4744,0.4813,0.5498,0.6379,0.69,0.7335,0.7657,0.758,0.9414,0.9547,0.9519,0.9512,0.9448,0.9411,0.8969,0.8751,0.7453,0.7355,0.6361,0.5893
0.5177,0.4925,0.459,0.4556,0.4646,0.4554,0.561,0.6284,0.6435,0.6944,0.7348,0.7217,0.8691,0.8937,0.8979,0.8878,0.8948,0.8702,0.8195,0.7999,0.7065,0.661,0.6225,0.5596
0.4714,0.4511,0.4156,0.4056,0.3977,0.3916,0.4159,0.4149,0.4955,0.578,0.6214,0.6283,0.6247,0.6322,0.6269,0.6296,0.6242,0.618,0.6192,0.6156,0.6189,0.6018,0.4953,0.4915
0.4077,0.3845,0.3671,0.3607,0.3526,0.3443,0.3608,0.3653,0.4166,0.4872,0.546,0.5485,0.5515,0.5652,0.5684,0.5692,0.5688,0.5601,0.5611,0.566,0.6178,0.5754,0.4692,0.4348
0.3946,0.3726,0.3563,0.3443,0.3573,0.3767,0.4701,0.567,0.6334,0.6478,0.698,0.6925,0.8383,0.8443,0.8477,0.8384,0.834,0.8279,0.7866,0.8005,0.6857,0.6649,0.5663,0.4607
0.3902,0.3676,0.3429,0.3368,0.3441,0.383,0.4365,0.579,0.6112,0.6297,0.6481,0.6347,0.811,0.8288,0.8188,0.8234,0.8119,0.7835,0.7768,0.7774,0.6393,0.6371,0.5598,0.4585
0.3598,0.329,0.3073,0.2973,0.3056,0.3283,0.3747,0.5031,0.5793,0.6408,0.6749,0.7016,0.8557,0.8766,0.8731,0.8657,0.871,0.8397,0.7952,0.8059,0.6627,0.6191,0.52,0.4091
0.3511,0.3076,0.3073,0.2769,0.2773,0.304,0.3776,0.4611,0.5201,0.6031,0.671,0.686,0.8361,0.8486,0.8377,0.8345,0.8342,0.8071,0.7629,0.751,0.6347,0.5868,0.4901,0.418
0.3403,0.3151,0.2876,0.2818,0.282,0.2962,0.3648,0.4559,0.5152,0.5969,0.6664,0.6817,0.8255,0.8362,0.8231,0.823,0.814,0.7925,0.7374,0.7073,0.5943,0.5251,0.4751,0.3783
0.4036,0.3683,0.3512,0.3499,0.3609,0.3558,0.3551,0.3955,0.4517,0.4996,0.5607,0.5842,0.574,0.5751,0.5645,0.5591,0.5508,0.5465,0.5396,0.5377,0.5646,0.5361,0.4475,0.4212
0.3811,0.3911,0.3637,0.3497,0.3524,0.3454,0.3365,0.3478,0.4024,0.4713,0.4996,0.5228,0.5286,0.5365,0.5336,0.5352,0.5398,0.537,0.5263,0.5255,0.5708,0.5312,0.4929,0.4448
0.3962,0.367,0.3374,0.3295,0.338,0.3724,0.4467,0.5164,0.6236,0.6513,0.6969,0.6996,0.8459,0.8569,0.8636,0.8616,0.857,0.8554,0.806,0.7981,0.6616,0.6422,0.5373,0.4784
0.3785,0.3587,0.3393,0.3317,0.3391,0.3724,0.403,0.5005,0.5644,0.6125,0.6699,0.6928,0.8459,0.8568,0.8583,0.8558,0.8635,0.8439,0.792,0.7842,0.6504,0.6201,0.4906,0.4257
0.3782,0.361,0.337,0.3263,0.3308,0.3423,0.3908,0.4858,0.5799,0.6156,0.6511,0.6714,0.8409,0.8428,0.8434,0.8421,0.8352,0.8037,0.7716,0.7526,0.6185,0.6219,0.4892,0.4334
0.3879,0.3687,0.3471,0.3317,0.3323,0.3595,0.3857,0.4724,0.5559,0.6041,0.6353,0.6525,0.8078,0.8093,0.8176,0.8089,0.8204,0.7903,0.7696,0.7509,0.6064,0.5815,0.4737,0.4203
0.396,0.3877,0.3635,0.3544,0.3563,0.3787,0.4063,0.5043,0.5402,0.6318,0.6438,0.679,0.8428,0.8477,0.8497,0.8566,0.852,0.8497,0.7929,0.8011,0.6484,0.6433,0.5098,0.4964
0.5044,0.4708,0.4466,0.4166,0.4121,0.414,0.4161,0.5522,0.6422,0.6942,0.7233,0.7612,0.8191,0.8459,0.8578,0.8722,0.9079,0.8821,0.7986,0.7416,0.7409,0.7259,0.6716,0.6678
0.6027,0.5396,0.4982,0.4644,0.4449,0.4297,0.426,0.4792,0.6373,0.7095,0.7499,0.8427,0.9437,1.0024,1.0113,1.0193,1.0298,1.0207,0.9966,0.9526,0.9201,0.8927,0.7671,0.7391
0.6252,0.5576,0.5057,0.4996,0.4934,0.5053,0.548,0.7105,0.7877,0.8946,0.9125,0.9615,1.1675,1.2379,1.1867,1.2173,1.2041,1.207,1.1216,1.1088,0.9341,0.9156,0.7822,0.7196
0.5436,0.5009,0.4605,0.4481,0.443,0.4552,0.4808,0.6809,0.7387,0.8149,0.8992,0.9305,1.1684,1.1394,1.1162,1.139,1.1535,1.1638,1.0977,0.9889,0.8404,0.8297,0.7416,0.6294
0.5912,0.4864,0.4468,0.4269,0.4218,0.4285,0.4723,0.6079,0.6556,0.6958,0.731,0.7621,0.9437,0.9778,0.9833,1.0197,1.0236,0.9708,0.9251,0.8742,0.7221,0.7267,0.6434,0.5672
0.4749,0.4434,0.4321,0.41,0.4015,0.4127,0.4582,0.5685,0.6284,0.6614,0.6902,0.7065,0.8995,0.9716,0.9622,0.9811,0.9743,0.9529,0.8867,0.8466,0.6789,0.671,0.6234,0.5394
0.4988,0.4985,0.4651,0.4434,0.4246,0.4295,0.4654,0.5436,0.5744,0.6105,0.6294,0.6769,0.816,0.8212,0.8186,0.8247,0.8193,0.818,0.7524,0.7368,0.5571,0.5897,0.5736,0.5265
0.5064,0.4966,0.4589,0.433,0.4252,0.4178,0.4167,0.4325,0.5138,0.5902,0.6678,0.7035,0.6693,0.6236,0.6002,0.6073,0.5938,0.6477,0.5927,0.5884,0.6323,0.6473,0.5373,0.5287
0.5177,0.4377,0.4096,0.3868,0.3826,0.3745,0.3657,0.3916,0.4528,0.521,0.5847,0.6515,0.6643,0.6779,0.6856,0.6801,0.6862,0.6949,0.6827,0.639,0.6442,0.6194,0.533,0.4924
0.4758,0.4769,0.461,0.4393,0.4333,0.4484,0.4915,0.5638,0.5955,0.669,0.671,0.6833,0.8501,0.8794,0.8787,0.8794,0.878,0.8694,0.8261,0.8141,0.6704,0.6749,0.5855,0.5351
0.4675,0.4641,0.4411,0.4243,0.4306,0.4443,0.484,0.5567,0.5868,0.653,0.6586,0.6723,0.8359,0.8687,0.873,0.873,0.8787,0.8608,0.8592,0.807,0.6535,0.6696,0.5639,0.5167
0.5512,0.4945,0.461,0.4404,0.4434,0.4631,0.4828,0.5837,0.6057,0.6681,0.6989,0.7107,0.8939,0.9262,0.9376,0.9399,0.9336,0.9162,0.8787,0.8619,0.697,0.6989,0.6108,0.5402
0.5026,0.4999,0.4812,0.4753,0.4775,0.4864,0.491,0.5759,0.6423,0.6672,0.7134,0.7293,0.8834,0.903,0.9095,0.928,0.933,0.8994,0.8797,0.8344,0.7039,0.7087,0.6071,0.5414
0.4481,0.4437,0.4208,0.4061,0.4198,0.4349,0.4251,0.5499,0.5884,0.6301,0.6676,0.6769,0.8421,0.8894,0.9104,0.9016,0.9024,0.8809,0.8014,0.7711,0.6071,0.6115,0.5555,0.4916
0.4304,0.4404,0.4029,0.4003,0.3946,0.3862,0.3823,0.3898,0.4804,0.5319,0.5803,0.6612,0.7162,0.7211,0.7261,0.7268,0.723,0.7104,0.674,0.6118,0.6234,0.5795,0.5579,0.513
0.485,0.4216,0.3804,0.3714,0.3668,0.356,0.3605,0.3669,0.4328,0.4948,0.5363,0.6191,0.6975,0.6525,0.6633,0.6809,0.7177,0.6862,0.6472,0.6124,0.5837,0.56,0.5171,0.5331
0.5009,0.435,0.3839,0.3594,0.3634,0.377,0.3964,0.5308,0.543,0.6027,0.6668,0.6949,0.901,0.9075,0.9153,0.9138,0.9026,0.9045,0.859,0.8293,0.6683,0.6365,0.5586,0.485
0.4859,0.4768,0.431,0.3936,0.3893,0.3689,0.3706,0.4332,0.5096,0.5386,0.5659,0.621,0.6534,0.7024,0.7128,0.7137,0.7114,0.6973,0.66,0.6259,0.6272,0.6135,0.5389,0.5132
0.6522,0.426,0.3959,0.3768,0.3723,0.3838,0.4185,0.5183,0.5323,0.5913,0.6399,0.6888,0.8798,0.8696,0.8803,0.8869,0.8921,0.8702,0.8039,0.7413,0.6088,0.5845,0.5342,0.4267
0.48,0.4181,0.3892,0.3669,0.3674,0.3711,0.4053,0.4896,0.5211,0.5417,0.5952,0.6423,0.8191,0.8504,0.8745,0.885,0.8817,0.8432,0.789,0.7157,0.5725,0.5561,0.5122,0.4284
0.4134,0.3707,0.3478,0.325,0.3214,0.3331,0.374,0.4389,0.4988,0.5237,0.5669,0.6196,0.7856,0.8237,0.8336,0.8348,0.8308,0.8117,0.7534,0.6886,0.5296,0.5275,0.4859,0.4297
0.4223,0.3526,0.3102,0.2942,0.2822,0.2822,0.2969,0.3113,0.37,0.4454,0.4937,0.5487,0.5877,0.6249,0.6249,0.6248,0.6434,0.6376,0.5896,0.5328,0.5268,0.5041,0.4718,0.4092
0.3828,0.3471,0.3088,0.2834,0.274,0.2649,0.2821,0.3219,0.3782,0.4733,0.5089,0.554,0.5568,0.6133,0.6311,0.651,0.6644,0.6497,0.6032,0.5483,0.5482,0.5436,0.4993,0.4839
